description,__CLASS__,location,id,redirect_url,salary_max,category,longitude,adref,title,salary_is_predicted,created,latitude,salary_min,company,contract_type,contract_time
"Job Description Established in 1805, the New York City Department of Health and Mental Hygiene (the NYC Health Department) is the oldest and largest health department in the country. Our mission is to protect and improve the health of all New Yorkers, in service of a vision of a city in which all New Yorkers can realize their full health potential, regardless of who they are, how old they are, where they are from, or where they live. As a world-renowned public health agency with a history of bu…",Adzuna::API::Response::Job,"{'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], 'display_name': 'Grand Central, Manhattan', '__CLASS__': 'Adzuna::API::Response::Location'}",4700122054,https://www.adzuna.com/details/4700122054?utm_medium=api&utm_source=962be41e,97009.85,"{'tag': 'scientific-qa-jobs', 'label': 'Scientific & QA Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI0NzAwMTIyMDU0In0.gz-1A5l6xvEGhrtjSY_M_0_o3lqBgc0cVzwjWZh571Y,"Data Analyst, Bureau of Tuberculosis Control",1,2024-05-19T15:11:09Z,40.755381,97009.85,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'City of New York'}",,
"Location: New York, New YorkJob Type: ContractCompensation Range: $46 - 51 per hourOur client who is a leading beauty brand is seeking a highly skilled E-Commerce and CRM Data Analyst to join their team and support data-driven strategies for a leading beauty brand. This role focuses on leveraging global data sources to build, maintain, and interpret e-commerce and CRM dashboards while providing actionable insights to drive business performance.If you have a passion for analyzing complex data se…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], 'display_name': 'Grand Central, Manhattan'}",4993282978,https://www.adzuna.com/details/4993282978?utm_medium=api&utm_source=962be41e,78827.02,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI0OTkzMjgyOTc4In0.LgjrRp06XPw_A1LPlIHnu_UJ3Zrge6FAhrM4fPW2o74,E-Commerce and CRM Data Analyst,1,2024-12-31T18:28:18Z,40.755381,78827.02,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Cella Inc'}",,
"Job Description NYU Grossman School of Medicine is one of the nation's top-ranked medical schools. For 175 years, NYU Grossman School of Medicine has trained thousands of physicians and scientists who have helped to shape the course of medical history and enrich the lives of countless people. An integral part of NYU Langone Health, the Grossman School of Medicine at its core is committed to improving the human condition through medical education, scientific research, and direct patient care. At…",Adzuna::API::Response::Job,"{'display_name': 'Church Street, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Church Street'], '__CLASS__': 'Adzuna::API::Response::Location'}",5003625214,https://www.adzuna.com/land/ad/5003625214?se=qGDQsy_e7xG3XU9x78hqtQ&utm_medium=api&utm_source=962be41e&v=9A4BD0DC88C81B16F22E2B06106816D464173B49,88269.95,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs', 'label': 'Scientific & QA Jobs'}",-74.00869,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI1MDAzNjI1MjE0In0.gBMHnfY_DX6cF4fv8QI8BQy3vvSX-6ayboLjp78jV4c,Per Diem Data Analyst,1,2025-01-09T13:02:12Z,40.71453,88269.95,"{'display_name': 'NYU Langone Medical Center', '__CLASS__': 'Adzuna::API::Response::Company'}",,
"Job Description NYU Grossman School of Medicine is one of the nation's top-ranked medical schools. For 175 years, NYU Grossman School of Medicine has trained thousands of physicians and scientists who have helped to shape the course of medical history and enrich the lives of countless people. An integral part of NYU Langone Health, the Grossman School of Medicine at its core is committed to improving the human condition through medical education, scientific research, and direct patient care. At…",Adzuna::API::Response::Job,"{'display_name': 'Grand Central, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], '__CLASS__': 'Adzuna::API::Response::Location'}",5003625865,https://www.adzuna.com/land/ad/5003625865?se=qGDQsy_e7xG3XU9x78hqtQ&utm_medium=api&utm_source=962be41e&v=D19633AB80E59742ED88C00B88E179E19BD83880,78989.87,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Scientific & QA Jobs', 'tag': 'scientific-qa-jobs'}",-73.97528,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI1MDAzNjI1ODY1In0.S1MsB4cFrd8Rb9yF4Ww2s_uC3FllOkH0KEEpaBjMhdo,Per Diem Data Analyst,1,2025-01-09T13:02:16Z,40.75284,78989.87,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'NYULMC'}",,
"Job Description Job Description Job Title – Analytics Consultant Location- Lower Manhattan, NY Duration – 6 Months ONSITE ROLE Job Summary/ Essential Job Functions: This candidate will plan and perform statistical analysis and conduct studies related to the repair processes for maintenance workers and skilled trades. This candidate will design and build analytic processes to track staff schedule optimization and travel times, backlogs of repair, completion times of repairs, and age of open repa…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'New York City, New York', 'area': ['US', 'New York', 'New York City']}",5024043731,https://www.adzuna.com/land/ad/5024043731?se=qGDQsy_e7xG3XU9x78hqtQ&utm_medium=api&utm_source=962be41e&v=F580E7EE8DAE954107DD585AE56AE256F6E0116E,47227.54,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI1MDI0MDQzNzMxIn0.t-uSAP9ox1G7cxRxscpIk4aeUexz5qznn-hD-3Ea6GI,Analytics Consultant/Data Analyst,1,2025-01-25T10:38:29Z,,47227.54,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Cogent Infotech Corporation'}",,
"Job Description The Bureau of Vital Statistics is responsible for registering and certifying all birth, deaths, spontaneous and induced terminations of pregnancy in NYC. The bureau issues, analyzes and reports on 285,000 vital events each year. The bureau is a very large customer service operation, providing death certification services on a 24/7 basis, issuing more than 900,000 certified copies of birth and death records, and fulfilling hundreds of data requests annually. NYC DOHMH has an open…",Adzuna::API::Response::Job,"{'display_name': 'Grand Central, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], '__CLASS__': 'Adzuna::API::Response::Location'}",4925247904,https://www.adzuna.com/details/4925247904?utm_medium=api&utm_source=962be41e,86681.36,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs', 'label': 'Scientific & QA Jobs'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDkyNTI0NzkwNCIsInMiOiJxR0RRc3lfZTd4RzNYVTl4NzhocXRRIn0.OT6_hj5yYGwJY8ZHhpqlZjZ7eOaOAVosUiRqlo9WGnQ,"Senior Data Analyst, Bureau of Vital Statistics",1,2024-11-03T15:39:51Z,40.755381,86681.36,"{'display_name': 'City of New York', '__CLASS__': 'Adzuna::API::Response::Company'}",,
Description Amazon's Global Tax Services team seeks an exceptionally capable and motivated individual to help deliver the analytics support to our global analytics products. The right individual should have in-depth ability to work with or an appetite to work with large data and solid business judgment capable of delivering the right system configurations with a tax and accounting context. Key job responsibilities This role performs a wide variety of responsibilities for the Global Tax organiza…,Adzuna::API::Response::Job,"{'display_name': 'Grand Central, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], '__CLASS__': 'Adzuna::API::Response::Location'}",4820565113,https://www.adzuna.com/details/4820565113?utm_medium=api&utm_source=962be41e,106015.9,"{'label': 'Accounting & Finance Jobs', 'tag': 'accounting-finance-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDgyMDU2NTExMyIsInMiOiJxR0RRc3lfZTd4RzNYVTl4NzhocXRRIn0.1mlfOdFWQtLlF3Ixy18NW3g-a4u9oqSczwnxM6L_nXI,"Senior Data Analyst, Global Tax Services",1,2024-08-10T16:20:06Z,40.755381,106015.9,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Amazon'}",,
"Job Description Established in 1805, the New York City Department of Health and Mental Hygiene (the NYC Health Department) is the oldest and largest health department in the country. Our mission is to protect and improve the health of all New Yorkers, in service of a vision of a city in which all New Yorkers can realize their full health potential, regardless of who they are, how old they are, where they are from, or where they live. As a world-renowned public health agency with a history of bu…",Adzuna::API::Response::Job,"{'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], 'display_name': 'Grand Central, Manhattan', '__CLASS__': 'Adzuna::API::Response::Location'}",4700122127,https://www.adzuna.com/details/4700122127?utm_medium=api&utm_source=962be41e,104488.8,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'healthcare-nursing-jobs', 'label': 'Healthcare & Nursing Jobs'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI0NzAwMTIyMTI3In0.HPQG8x7KFERj8USCKL0j4_kJ6X2GdATW0lt1yxZNNtA,"Data Analyst, Bureau of Emergency Field Operations",1,2024-05-19T15:11:09Z,40.755381,104488.8,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'City of New York'}",,
"Thinking about an alternative legal career? Our Data team supports the Bloomberg Industry Group (INDG) business, which offers outstanding tools, search, and analytics for products in the areas of Law, Government and Tax. Bloomberg is changing the legal industry by delivering the most sophisticated research platform on the market with a focus on automation, analytics and real-time answers. INDG provides users with fast access to legal content and analysis, practice tools, company information and…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], 'display_name': 'Grand Central, Manhattan'}",4915294813,https://www.adzuna.com/details/4915294813?utm_medium=api&utm_source=962be41e,70630.44,"{'label': 'Legal Jobs', 'tag': 'legal-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDkxNTI5NDgxMyIsInMiOiJxR0RRc3lfZTd4RzNYVTl4NzhocXRRIn0.tKu1arxUiecdf8a5p6-X5rfVKAOaEVu84cPW4G0uN_Q,Legal Data Analyst - Case Analysis (INDG),1,2024-10-26T16:36:03Z,40.755381,70630.44,"{'display_name': 'Bloomberg', '__CLASS__': 'Adzuna::API::Response::Company'}",,
"Contractor to potential full-time role: Dom & Tom is seeking a Senior Product Data Analyst with Qlik proficiency to support our Clients' Product team in the Enterprise Technology department. The ideal candidate will be able to quickly navigate & understand complex spaces surrounding financial trading workflows, systems integration & systems connectivity; building a basis to perform in-depth analysis on related datasets; collaborating & communicating with stakeholders to derive high quality insi…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Grand Central, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']}",4961315676,https://www.adzuna.com/land/ad/4961315676?se=qGDQsy_e7xG3XU9x78hqtQ&utm_medium=api&utm_source=962be41e&v=512F8954E46D658E80E109B43965C20590424243,91936.2,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",-73.97528,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDk2MTMxNTY3NiIsInMiOiJxR0RRc3lfZTd4RzNYVTl4NzhocXRRIn0.Znk7b_8At-EI3WNrqqWohxc4hY0yIMCAYDKxmUGX-Ls,Senior Qlik Developer Data Analyst,1,2024-12-03T11:39:50Z,40.75284,91936.2,"{'display_name': 'Dom and Tom', '__CLASS__': 'Adzuna::API::Response::Company'}",,
"Job Description PROGRAM/JOB DESCRIPTION: The Center for Health Equity & Community Wellness (CHECW) seeks to eliminate racial and other inequities resulting in premature mortality. With an unwavering grounding in history and structural analysis, CHECW works to increase visibility of the harm perpetuated by centuries of racist, socially unjust policy while pushing towards redress for the most impacted NYC communities. CHECW addresses inequity across community and healthcare systems in partnership…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Grand Central, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']}",4892779841,https://www.adzuna.com/details/4892779841?utm_medium=api&utm_source=962be41e,90903.34,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Healthcare & Nursing Jobs', 'tag': 'healthcare-nursing-jobs'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI0ODkyNzc5ODQxIn0.zS9A6SrF9bigmB8IQhzXci1sCwyfgCetlIsKukLPldw,"Senior Data Analyst, Bureau of Equitable Health Systems",1,2024-10-07T16:30:40Z,40.755381,90903.34,"{'display_name': 'City of New York', '__CLASS__': 'Adzuna::API::Response::Company'}",,
"Job Description Established in 1805, the New York City Department of Health and Mental Hygiene (the NYC Health Department) is the oldest and largest health department in the country. Our mission is to protect and improve the health of all New Yorkers, in service of a vision of a city in which all New Yorkers can realize their full health potential, regardless of who they are, how old they are, where they are from, or where they live. As a world-renowned public health agency with a history of bu…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], 'display_name': 'Grand Central, Manhattan'}",4700121884,https://www.adzuna.com/details/4700121884?utm_medium=api&utm_source=962be41e,108444.12,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI0NzAwMTIxODg0In0.l3QXv4xlRMKdtpQCJbTjRYQP9H8t-rOYWzDUeQqic-o,"Data Analyst, Bureau of Application Development and Database Administration",1,2024-05-19T15:11:08Z,40.755381,108444.12,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'City of New York'}",,
"The Bureau of Vital Statistics is responsible for registering and certifying all birth, deaths, spontaneous and induced terminations of pregnancy in NYC. The bureau issues, analyzes and reports on 285,000 vital events each year. The bureau is a very large customer service operation, providing death certification services on a 24/7 basis, issuing more than 900,000 certified copies of birth and death records, and fulfilling hundreds of data requests annually. NYC DOHMH has an opening for a Senior…",Adzuna::API::Response::Job,"{'display_name': 'Manhattan, New York City', 'area': ['US', 'New York', 'New York City', 'Manhattan'], '__CLASS__': 'Adzuna::API::Response::Location'}",4960540404,https://www.adzuna.com/land/ad/4960540404?se=qGDQsy_e7xG3XU9x78hqtQ&utm_medium=api&utm_source=962be41e&v=101F8F36CD362215610603E0D326F64A7BC568C6,89902.82,"{'label': 'Scientific & QA Jobs', 'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",-73.999164,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI0OTYwNTQwNDA0In0.zchBHrnmtyC9DnqX2cxPgi7Yz8ETaTup4W3u696HJEY,"Senior Data Analyst, Bureau of Vital Statistics",1,2024-12-02T23:37:38Z,40.753685,89902.82,"{'display_name': 'New York City, NY', '__CLASS__': 'Adzuna::API::Response::Company'}",,
